primaryTitle,startYear,averageRating,numVotes,genres,tmdb_id,budget,revenue,release_date,popularity,vote_average,vote_count
Amityville Exorcism,2017,1.9,2204,Horror,433002.0,0.0,0.0,2017-01-03,0.5096,3.7,35.0
Veyi Subhamulu Kalugu Neeku,2022,1.9,2127,"Action,Comedy",1098250.0,800000.0,0.0,2022-01-07,0.514,2.0,1.0
Verotika,2019,1.9,2106,Horror,601099.0,0.0,0.0,2019-06-13,1.2209,3.4,50.0
The Undefeated,2011,1.9,1972,"Biography,Documentary",80210.0,1000000.0,0.0,2011-07-15,1.1803,2.05,10.0
Way of the Vampire,2005,1.9,1721,"Action,Horror,Thriller",28516.0,580000.0,0.0,2005-02-22,0.5844,2.955,22.0
Ring of Terror,1961,1.9,1473,"Drama,Horror",113739.0,0.0,0.0,1961-06-11,2.5957,1.667,24.0
Facia Üçlü,2018,1.9,1229,Comedy,546509.0,0.0,0.0,2018-08-24,0.1928,1.0,1.0
Day and Night,1997,1.9,1214,Drama,160989.0,0.0,0.0,1997-02-12,0.5085,2.2,16.0
Identity Crisis,1989,1.9,1168,Comedy,31239.0,0.0,0.0,1989-09-15,0.5162,1.333,6.0
SüperTürk,2012,1.9,1161,Comedy,138725.0,0.0,0.0,2012-04-25,0.1862,2.0,9.0
Racket Girls,1951,1.9,1158,"Action,Crime,Drama",89993.0,0.0,0.0,1951-03-05,0.1809,2.5,24.0
The Price of Air,2000,1.9,1150,"Action,Crime,Drama",108825.0,0.0,0.0,2000-09-29,0.7125,1.5,2.0
The Ladykiller,2023,1.9,1097,"Crime,Drama,Mystery",1065835.0,5404446.0,456.0,2023-11-03,0.4872,6.0,1.0
Alice in Murderland,2010,1.9,1087,"Horror,Thriller",57008.0,0.0,0.0,2010-02-05,0.3007,2.8,20.0
The Class 3,2014,1.9,1058,Comedy,127585.0,250000000.0,747862775.0,2014-05-15,10.0093,7.528,15602.0
Atlantic Rim: Resurrection,2018,1.9,1040,"Action,Adventure,Sci-Fi",506319.0,0.0,0.0,2018-05-11,0.8652,2.6,30.0
